iteration,replay_size,examples_added,train_policy_loss,train_value_loss,train_entropy,self_play_reward_mean,self_play_points_mean,validation_reward_mean,validation_points_mean,validation_rank_mean
1,300,300,3.3672253012657167,0.4137005046010017,3.3599419832229613,0.1288706984370947,1615.962073749712,-inf,,
2,600,300,3.2686316778785303,0.41508495964502035,3.2726730484711495,0.22593708839267493,1653.171048302774,-0.15227741189301014,1555.7221350143516,5.0
3,900,300,3.179646676984327,0.40924466786713437,3.174472159352796,0.21059251464903356,1635.2094747744602,-inf,,
4,1200,300,3.127857151784395,0.3969843783660939,3.125668786073986,0.1726336318999529,1653.723879299625,0.13871504366397858,1635.048226148909,4.0
5,1500,300,3.0634756823803517,0.37151683993796086,3.0661727088562984,0.18265184983611107,1637.0069066508336,-inf,,
6,1800,300,2.9891456721121803,0.3477173143050127,2.9921965850026986,0.3605898380279541,1683.6416697943507,0.3607215816155076,1663.9133983899346,3.125
